@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.954028,0.979316,0.964528,0.921139,0.942364,0.955572,0.9577,0.955483,0.859921,0.917785,0
0.258009,0.984491,0.946265,0.858036,0.934144,0.280459,0.313097,0.279986,0.480422,0.878729,0
0.924195,0.979316,0.964528,0.954795,0.975299,0.926792,0.930129,0.92668,0.859921,0.952836,0
0.683056,0.974147,0.946817,0.887143,0.93413,0.693034,0.707162,0.692878,0.663446,0.917692,0
0.99682,0.989655,0.978381,0.941261,0.958831,0.996982,0.997152,0.996952,0.872523,0.947508,0
0.683624,0.979317,0.932984,0.842159,0.934132,0.693532,0.707645,0.693344,0.363714,0.862313,0
0.96081,0.989655,0.972473,0.945141,0.975299,0.962163,0.963872,0.962136,0.785226,0.960367,0
0.996399,0.999993,1,0.995072,0.991766,0.996597,0.99668,0.996538,1,0.994882,0
0.806084,0.994824,0.981578,0.943113,0.967065,0.812191,0.820782,0.812087,0.818161,0.967018,0
0.806598,0.994825,0.964996,0.906419,0.967066,0.812689,0.821254,0.812617,0.571001,0.937998,0
0.860527,0.989655,0.975396,0.968426,0.991767,0.865081,0.871183,0.864924,0.84001,0.967018,0
0.775193,0.989656,0.965431,0.92967,0.975302,0.782339,0.792264,0.782182,0.685636,0.944305,0
0.712502,0.989656,0.964068,0.92667,0.975302,0.721581,0.73427,0.721381,0.665806,0.941191,0
0.593749,0.97932,0.928604,0.849671,0.950606,0.606462,0.624461,0.606179,0.296401,0.861149,0
0.987654,0.999993,1,0.995072,0.991766,0.988128,0.988599,0.988062,1,0.994882,0
0.682651,0.984486,0.951263,0.920729,0.983533,0.692733,0.706708,0.692446,0.583981,0.917171,0
0.944399,0.994824,0.986066,0.978193,0.991766,0.946279,0.948668,0.946182,0.899821,0.977232,0
0.958238,0.989655,0.979896,0.978193,0.991766,0.95973,0.961503,0.959643,0.899821,0.977232,0
0.679055,0.98449,0.939238,0.868175,0.958842,0.689148,0.703367,0.688958,0.363714,0.88944,0
0.996866,0.994824,0.992261,0.991636,0.991766,0.997095,0.997155,0.997037,0.979918,0.99129,0
0.443977,0.984486,0.970704,0.963221,0.983532,0.461269,0.485666,0.460807,0.859921,0.961611,0
-1,0.98449,0.937022,0.854518,0.950608,-1,-1,-1,0.316133,0.884308,0
-0.03097,0.984488,0.938122,0.874364,0.96707,-0.000538,0.044059,-0.001249,0.353607,0.886857,0
-0.057671,0.999993,0.998418,0.983278,0.983532,-0.026723,0.018881,-0.027561,0.979918,0.982586,0
0.673515,0.994825,0.970278,0.841606,0.892962,0.683412,0.698102,0.683543,0.593075,0.950082,1
0.673515,0.994825,0.970278,0.841606,0.892962,0.683412,0.698102,0.683543,0.593075,0.950082,1
0.953143,0.994824,0.986066,0.961384,0.975299,0.95469,0.956741,0.954658,0.885475,0.977232,0
0.942245,0.984486,0.970704,0.954795,0.975299,0.944228,0.946763,0.94413,0.852516,0.952836,0
0.989664,0.994824,0.99069,0.988231,0.991766,0.99012,0.990496,0.990085,0.952789,0.996451,0
0.998971,0.999993,0.99685,0.954778,0.958831,0.998975,0.999057,0.998919,0.959858,0.952891,0
0.999486,0.999993,0.998418,0.974924,0.975299,0.99953,0.999528,0.999473,0.972912,0.973886,0
0.967964,0.984486,0.972207,0.974907,0.991766,0.969196,0.970535,0.969116,0.879858,0.973795,0
0.97788,0.999993,0.99073,0.974907,0.991766,0.978662,0.979563,0.978618,0.872523,0.982568,0
0.939903,0.95347,0.935187,0.865841,0.884727,0.941923,0.944865,0.941825,0.879858,0.860215,0
0.929195,0.963809,0.950606,0.881098,0.892963,0.931488,0.934857,0.931579,0.873375,0.937038,0
0.880016,0.984486,0.969216,0.951546,0.975299,0.88395,0.889235,0.883896,0.818161,0.975814,1
0.885722,0.989655,0.984531,0.938081,0.942364,0.889311,0.894457,0.88932,0.926362,0.979012,0
0.925369,0.994824,0.986066,0.952987,0.967065,0.927759,0.931064,0.927765,0.871884,0.985992,0
0.98943,0.968978,0.958329,0.993242,1,0.990149,0.9905,0.990085,0.939822,0.992934,0
0.955524,0.974147,0.96139,0.936207,0.950597,0.957095,0.959115,0.957093,0.878584,0.959727,0
0.994575,0.968978,0.953693,0.890936,0.909429,0.994823,0.99525,0.994791,0.872523,0.895069,0
0.95721,0.989655,0.981426,0.939583,0.950597,0.95859,0.960534,0.958646,0.885686,0.980699,0
0.998316,0.984486,0.979952,0.933233,0.93413,0.998394,0.998574,0.998392,0.966089,0.947821,0
0.989664,0.994824,0.99069,0.988231,0.991766,0.99012,0.990496,0.990085,0.952789,0.996451,0
0.98756,0.989655,0.981426,0.956339,0.967065,0.988042,0.988595,0.988005,0.91261,0.96322,0
0.963661,0.963809,0.944502,0.926261,0.950597,0.965067,0.96672,0.96507,0.818161,0.949438,0
0.935559,0.984486,0.97526,0.939583,0.950597,0.937665,0.940579,0.93762,0.905596,0.954487,0
0.969088,0.994824,0.980112,0.973689,1,0.970221,0.971486,0.970142,0.820127,0.972485,0
0.939722,0.989655,0.972473,0.962066,0.991766,0.941795,0.94439,0.941695,0.800271,0.960367,0
0.996352,0.994824,0.99069,0.996606,1,0.996626,0.99668,0.996567,0.959858,0.996451,0
0.996305,0.989655,0.984531,0.988231,0.991766,0.996597,0.99668,0.996538,0.959858,0.987729,0
0.918346,0.958639,0.931023,0.918787,0.958831,0.921253,0.924892,0.921196,0.725386,0.932933,0
0.812652,0.875932,0.835024,0.823844,0.860027,0.819274,0.827917,0.819113,0.765252,0.825158,0
0.991769,0.999993,0.99376,0.939583,0.950597,0.991972,0.992398,0.991938,0.91261,0.94576,0
0.929435,0.989655,0.979896,0.944594,0.958831,0.931715,0.934878,0.931637,0.892554,0.950982,0
0.989711,0.999993,0.99376,0.973114,0.983532,0.990092,0.990496,0.990056,0.91261,0.980699,0
-0.0538,0.669165,0.551179,0.455077,0.580087,-0.020198,0.027383,-0.0208,0.203685,0.476711,1
0.998131,0.963809,0.95217,0.801639,0.810624,0.997992,0.998582,0.997937,0.939822,0.793411,0
0.986951,0.979316,0.970648,0.94299,0.950597,0.987488,0.98812,0.98745,0.932688,0.94931,0
0.938549,0.974147,0.955377,0.948328,0.975299,0.940741,0.943435,0.940669,0.81258,0.954872,0
0.750211,0.95864,0.938326,0.968426,0.991767,0.758497,0.769455,0.758259,0.84001,0.967018,0
0.838168,0.963809,0.940085,0.941984,0.975299,0.843602,0.850743,0.843428,0.780445,0.939438,0
0.955524,0.974147,0.962931,0.964724,0.975299,0.957181,0.959126,0.957093,0.919809,0.96322,0
0.88773,0.984489,0.964842,0.899688,0.93414,0.891275,0.896352,0.891314,0.730755,0.948262,0
0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,1
0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,1
0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,1
0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,1
0.820889,0.984486,0.967743,0.914576,0.942365,0.826545,0.83456,0.826511,0.784337,0.954872,0
0.763631,0.912123,0.86687,0.823937,0.884745,0.77154,0.782253,0.771621,0.549159,0.905294,1
0.522225,0.963815,0.915366,0.784192,0.876512,0.536951,0.558342,0.536933,0.306588,0.873991,1
0.963802,0.979316,0.969095,0.939583,0.950597,0.965067,0.966717,0.965099,0.892132,0.971957,0
0.945561,0.95347,0.935187,0.907691,0.925896,0.947544,0.950075,0.947591,0.845086,0.947508,0
0.811332,0.95347,0.932151,0.884213,0.909429,0.817458,0.826,0.817447,0.798066,0.931878,0
0.897258,0.958645,0.931023,0.867957,0.909444,0.900654,0.905384,0.900697,0.690183,0.915251,0
0.518691,0.968981,0.937878,0.898106,0.950605,0.533782,0.555063,0.533411,0.653975,0.90254,0
0.99841,0.994824,0.989134,0.968094,0.975299,0.998533,0.998578,0.998504,0.932688,0.975469,0
0.987654,0.999993,0.966196,0.732282,0.810624,0.987527,0.988542,0.988005,0.393666,0.899521,0
0.89755,0.989657,0.976881,0.862426,0.884734,0.900569,0.905377,0.900697,0.800271,0.935301,0
0.973014,0.974149,0.964488,0.94299,0.950601,0.974035,0.975281,0.973988,0.925739,0.94931,0
0.980591,0.95864,0.946013,0.934632,0.942366,0.981481,0.982408,0.981467,0.918976,0.94931,0
0.972967,0.968979,0.958329,0.934632,0.942367,0.974007,0.975281,0.97396,0.925739,0.940601,0
0.878523,0.989655,0.96961,0.947342,0.983533,0.882485,0.887817,0.882371,0.752879,0.953845,1
0.659668,0.948302,0.911688,0.767538,0.827093,0.670212,0.685734,0.670421,0.536432,0.899446,1
0.976851,0.999993,0.99376,0.981509,0.991766,0.977665,0.978612,0.977621,0.91261,0.989447,1
0.987654,0.999993,0.995297,0.984855,0.991766,0.988128,0.988599,0.988062,0.939822,0.984199,1
0.891428,0.994824,0.983059,0.954795,0.975299,0.894909,0.899697,0.894833,0.845302,0.970391,1
0.996352,0.994824,0.983059,0.963221,0.983532,0.996569,0.99668,0.99651,0.859921,0.961611,1
0.998924,0.994824,0.99069,0.971494,0.975299,0.999032,0.999057,0.998975,0.959858,0.9703,1
0.928358,0.984488,0.970704,0.895946,0.917669,0.930576,0.933903,0.930698,0.806105,0.961611,0
0.957067,0.974149,0.962931,0.939583,0.950601,0.95859,0.960544,0.958531,0.905596,0.94576,0
0.999345,0.984486,0.979952,0.866808,0.86826,0.999173,0.999528,0.999144,0.972912,0.869927,0
0.897724,0.953471,0.932151,0.892613,0.917663,0.901181,0.905866,0.901196,0.804566,0.931878,0
0.869732,0.984491,0.966285,0.82717,0.860041,0.873579,0.879698,0.873777,0.722066,0.92513,0
1,0.999993,1,0.970048,0.967065,1,1,1,0.986295,0.986191,0
0.952676,0.999993,0.995297,0.934632,0.942364,0.954078,0.956262,0.954073,0.918976,0.958024,0
0.864295,0.95347,0.933661,0.904339,0.925896,0.868828,0.87497,0.868792,0.83145,0.935301,0
0.960906,0.999993,0.995297,0.917931,0.925896,0.961993,0.963865,0.962022,0.912401,0.94931,0
0.796937,0.95347,0.927712,0.865932,0.901196,0.80348,0.812686,0.80349,0.730755,0.921804,0
0.845782,0.95347,0.932151,0.884213,0.909429,0.850835,0.85785,0.850845,0.798066,0.931878,0
0.884352,0.95347,0.935187,0.865841,0.884728,0.888113,0.893493,0.888234,0.820782,0.938755,0
0.894209,0.906948,0.849053,0.720762,0.810627,0.897828,0.902969,0.898176,0.298444,0.861359,0
0.97924,0.922455,0.898202,0.832456,0.851792,0.980183,0.981457,0.980194,0.85842,0.851515,0
0.990413,0.963809,0.950606,0.889437,0.901195,0.99081,0.991436,0.990857,0.892132,0.91961,0
0.973014,0.974149,0.964488,0.94299,0.950601,0.974035,0.975281,0.973988,0.925739,0.94931,0
0.975634,0.979316,0.964528,0.937957,0.958831,0.976555,0.977665,0.976481,0.859921,0.935301,0
